web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322453-13152","http://ufcstats.com/statistics/fighters?char=m&page=all","Tatsuya","Mizuno","","6' 1""","205 lbs.","--","Southpaw","16","12","1",""
"1627322453-12997","http://ufcstats.com/statistics/fighters?char=m&page=all","Daijiro","Matsui","","5' 9""","200 lbs.","--","Orthodox","13","29","7",""
"1627322453-12957","http://ufcstats.com/statistics/fighters?char=m&page=all","Danilo","Marques","","6' 6""","205 lbs.","77.0""","Orthodox","11","3","0",""
"1627322453-12985","http://ufcstats.com/statistics/fighters?char=m&page=all","Wagner da Conceicao","Martins","Zuluzinho","6' 7""","390 lbs.","--","Orthodox","9","8","0",""
"1627322453-13160","http://ufcstats.com/statistics/fighters?char=m&page=all","Suman","Mokhtarian","","5' 8""","145 lbs.","72.0""","Orthodox","8","5","0",""
"1627322453-12939","http://ufcstats.com/statistics/fighters?char=m&page=all","Nate","Maness","Mayhem","5' 10""","135 lbs.","72.0""","Orthodox","13","1","0",""
"1627322453-13007","http://ufcstats.com/statistics/fighters?char=m&page=all","Nick","Maximov","","6' 0""","220 lbs.","76.0""","Southpaw","6","0","0",""
"1627322453-13009","http://ufcstats.com/statistics/fighters?char=m&page=all","Jeremy","May","","6' 1""","185 lbs.","--","","13","10","0",""
"1627322453-13070","http://ufcstats.com/statistics/fighters?char=m&page=all","Jordan","Mein","Young Gun","6' 0""","170 lbs.","73.0""","Orthodox","31","12","0",""
"1627322453-13150","http://ufcstats.com/statistics/fighters?char=m&page=all","Motoki","Miyazawa","","5' 11""","168 lbs.","--","Southpaw","7","3","0",""
"1627322453-12917","http://ufcstats.com/statistics/fighters?char=m&page=all","Zabit","Magomedsharipov","","6' 1""","145 lbs.","73.0""","Orthodox","18","1","0",""
"1627322453-13222","http://ufcstats.com/statistics/fighters?char=m&page=all","Fazlo","Mulabitinovic","","--","135 lbs.","--","","4","2","0",""
"1627322453-13042","http://ufcstats.com/statistics/fighters?char=m&page=all","Greg","McIntyre","","5' 10""","155 lbs.","--","Orthodox","6","4","0",""
"1627322453-13250","http://ufcstats.com/statistics/fighters?char=m&page=all","Max","Mustaki","","6' 0""","155 lbs.","--","Orthodox","6","3","0",""
"1627322453-13151","http://ufcstats.com/statistics/fighters?char=m&page=all","Takeya","Mizugaki","","5' 7""","135 lbs.","69.0""","Orthodox","21","11","2",""
"1627322453-13157","http://ufcstats.com/statistics/fighters?char=m&page=all","Renato","Moicano","","5' 11""","155 lbs.","72.0""","Orthodox","15","4","1",""
"1627322453-13166","http://ufcstats.com/statistics/fighters?char=m&page=all","Darrell","Montague","Mongoose","5' 6""","125 lbs.","67.0""","Southpaw","13","5","0",""
"1627322453-13203","http://ufcstats.com/statistics/fighters?char=m&page=all","Maryna","Moroz","Iron Lady","5' 7""","125 lbs.","67.0""","Orthodox","10","3","0",""
"1627322453-12974","http://ufcstats.com/statistics/fighters?char=m&page=all","Michal","Martinek","","6' 2""","230 lbs.","--","Southpaw","7","1","0",""
"1627322453-13240","http://ufcstats.com/statistics/fighters?char=m&page=all","Jon","Murphy","Man of Faith","6' 3""","260 lbs.","--","Orthodox","6","4","0",""
"1627322453-13205","http://ufcstats.com/statistics/fighters?char=m&page=all","Brad","Morris","","6' 2""","205 lbs.","--","Orthodox","10","6","0",""
"1627322453-13130","http://ufcstats.com/statistics/fighters?char=m&page=all","Mario","Miranda","","6' 3""","185 lbs.","74.0""","Orthodox","14","7","0",""
"1627322453-12945","http://ufcstats.com/statistics/fighters?char=m&page=all","Steve","Mann","","6' 1""","170 lbs.","--","","12","5","0",""
