web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323119-13643","http://ufcstats.com/statistics/fighters?char=r&page=all","Luis","Ramos","Beicao","5' 8""","170 lbs.","--","Orthodox","20","10","2",""
"1627323119-13813","http://ufcstats.com/statistics/fighters?char=r&page=all","Gabe","Ruediger","Godzilla","5' 10""","155 lbs.","--","Orthodox","18","8","0",""
"1627323119-13665","http://ufcstats.com/statistics/fighters?char=r&page=all","Elise","Reed","","5' 3""","125 lbs.","63.0""","Orthodox","4","1","0",""
"1627323119-13669","http://ufcstats.com/statistics/fighters?char=r&page=all","Stephen","Regman","","5' 11""","185 lbs.","76.0""","Orthodox","9","4","0",""
"1627323119-13742","http://ufcstats.com/statistics/fighters?char=r&page=all","Mark","Robinson","White Rhino","6' 0""","265 lbs.","--","Orthodox","1","0","0",""
"1627323119-13792","http://ufcstats.com/statistics/fighters?char=r&page=all","Jared","Rosholt","","6' 2""","265 lbs.","75.0""","Orthodox","14","4","0",""
"1627323119-13818","http://ufcstats.com/statistics/fighters?char=r&page=all","Bas","Rutten","El Guapo","6' 1""","205 lbs.","--","Orthodox","28","4","1",""
"1627323119-13719","http://ufcstats.com/statistics/fighters?char=r&page=all","Jonathan","Rivera","","--","155 lbs.","--","","4","2","0",""
"1627323119-13670","http://ufcstats.com/statistics/fighters?char=r&page=all","Chad","Reiner","The Grinder","5' 11""","170 lbs.","--","Orthodox","33","18","0",""
"1627323119-13667","http://ufcstats.com/statistics/fighters?char=r&page=all","Johnny","Rees","The Hater Hurter","6' 0""","170 lbs.","--","Orthodox","13","5","0",""
"1627323119-13739","http://ufcstats.com/statistics/fighters?char=r&page=all","Kenny","Robertson","","5' 10""","170 lbs.","74.0""","Orthodox","15","5","0",""
"1627323119-13686","http://ufcstats.com/statistics/fighters?char=r&page=all","Johnny","Rhodes","","6' 0""","210 lbs.","--","Orthodox","2","1","0",""
"1627323119-13785","http://ufcstats.com/statistics/fighters?char=r&page=all","Joao","Roque","","5' 6""","155 lbs.","--","Orthodox","7","2","4",""
"1627323119-13703","http://ufcstats.com/statistics/fighters?char=r&page=all","Jeremiah","Riggs","","6' 0""","185 lbs.","--","","7","8","0",""
"1627323119-13763","http://ufcstats.com/statistics/fighters?char=r&page=all","Drako","Rodriguez","","5' 8""","135 lbs.","69.0""","Orthodox","7","2","0",""
"1627323119-13783","http://ufcstats.com/statistics/fighters?char=r&page=all","Jesse","Ronson","The Body Snatcher","5' 10""","170 lbs.","70.0""","Southpaw","21","10","0",""
"1627323119-13727","http://ufcstats.com/statistics/fighters?char=r&page=all","Kali","Robbins","Pop Tart","5' 3""","115 lbs.","63.0""","Orthodox","6","3","0",""
"1627323119-13707","http://ufcstats.com/statistics/fighters?char=r&page=all","Jordan","Rinaldi","All Day","5' 10""","145 lbs.","72.0""","Orthodox","14","7","0",""
"1627323119-13801","http://ufcstats.com/statistics/fighters?char=r&page=all","Ray","Routh","","5' 8""","185 lbs.","--","Orthodox","2","1","0",""
