web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321962-11939","http://ufcstats.com/statistics/fighters?char=f&page=all","Mirko","Filipovic","Cro Cop","6' 2""","230 lbs.","73.0""","Southpaw","35","11","2",""
"1627321962-11993","http://ufcstats.com/statistics/fighters?char=f&page=all","Rafael","Freitas","Capoeira","--","205 lbs.","--","Orthodox","3","6","0",""
"1627321962-11946","http://ufcstats.com/statistics/fighters?char=f&page=all","Spencer","Fisher","The King","5' 7""","155 lbs.","68.0""","Southpaw","24","9","0",""
"1627321962-11941","http://ufcstats.com/statistics/fighters?char=f&page=all","Jesse","Finney","","6' 0""","170 lbs.","--","","5","1","0",""
"1627321962-11969","http://ufcstats.com/statistics/fighters?char=f&page=all","Codale","Ford","Crunch Time","5' 9""","170 lbs.","--","","11","9","0",""
"1627321962-11930","http://ufcstats.com/statistics/fighters?char=f&page=all","Drew","Fickett","The Master","5' 10""","155 lbs.","70.0""","Orthodox","42","21","0",""
"1627321962-11918","http://ufcstats.com/statistics/fighters?char=f&page=all","Kevin","Ferguson","Kimbo Slice","6' 2""","235 lbs.","77.0""","Orthodox","5","2","0",""
"1627321962-11899","http://ufcstats.com/statistics/fighters?char=f&page=all","Melinda","Fabian","","5' 6""","125 lbs.","66.0""","","4","4","2",""
"1627321962-11966","http://ufcstats.com/statistics/fighters?char=f&page=all","Claudionor","Fontinelle","","5' 5""","185 lbs.","--","Orthodox","10","15","1",""
"1627321962-12005","http://ufcstats.com/statistics/fighters?char=f&page=all","Megumi","Fujii","Mega Megu","5' 3""","113 lbs.","--","","26","3","0",""
"1627321962-11977","http://ufcstats.com/statistics/fighters?char=f&page=all","Hermes","Franca","","5' 6""","155 lbs.","71.0""","Orthodox","24","17","0",""
"1627321962-11987","http://ufcstats.com/statistics/fighters?char=f&page=all","Ian","Freeman","The Machine","5' 11""","225 lbs.","--","Orthodox","20","7","1",""
"1627321962-11912","http://ufcstats.com/statistics/fighters?char=f&page=all","Rico","Farrington","The Triggerman","6' 4""","170 lbs.","79.0""","Southpaw","7","3","0",""
"1627321962-11940","http://ufcstats.com/statistics/fighters?char=f&page=all","Brady","Fink","","6' 0""","183 lbs.","--","Orthodox","2","3","0",""
"1627321962-11926","http://ufcstats.com/statistics/fighters?char=f&page=all","Diego","Ferreira","","5' 9""","155 lbs.","74.0""","Orthodox","17","4","0",""
"1627321962-11900","http://ufcstats.com/statistics/fighters?char=f&page=all","Wagnney","Fabiano","The Silencer","5' 6""","145 lbs.","69.0""","Southpaw","16","4","0",""
"1627321962-11957","http://ufcstats.com/statistics/fighters?char=f&page=all","Alejandro","Flores","El Gallito","5' 10""","145 lbs.","73.0""","Orthodox","17","3","0",""
"1627321962-11980","http://ufcstats.com/statistics/fighters?char=f&page=all","John","Franchi","","5' 6""","145 lbs.","67.0""","Orthodox","6","2","0",""
"1627321962-11937","http://ufcstats.com/statistics/fighters?char=f&page=all","Paulo","Filho","","5' 8""","185 lbs.","--","Southpaw","23","6","3",""
"1627321962-11973","http://ufcstats.com/statistics/fighters?char=f&page=all","Brian","Foster","The Foster Boy","5' 9""","170 lbs.","71.0""","Orthodox","27","10","0",""
"1627321962-12012","http://ufcstats.com/statistics/fighters?char=f&page=all","Masakatsu","Funaki","","6' 0""","185 lbs.","--","Southpaw","39","13","2",""
"1627321962-11992","http://ufcstats.com/statistics/fighters?char=f&page=all","Jeremy","Freitag","","6' 1""","205 lbs.","--","","6","10","0",""
"1627321962-12007","http://ufcstats.com/statistics/fighters?char=f&page=all","Keisuke","Fujiwara","","5' 6""","139 lbs.","--","Switch","17","12","5",""
"1627321962-11996","http://ufcstats.com/statistics/fighters?char=f&page=all","Mike","French","","5' 10""","145 lbs.","--","","9","10","0",""
"1627321962-11965","http://ufcstats.com/statistics/fighters?char=f&page=all","Rob","Font","","5' 8""","135 lbs.","71.0""","Orthodox","19","4","0",""
"1627321962-11913","http://ufcstats.com/statistics/fighters?char=f&page=all","Kelly","Faszholz","","5' 8""","135 lbs.","--","Orthodox","4","2","0",""
"1627321962-11956","http://ufcstats.com/statistics/fighters?char=f&page=all","Ty","Flores","Big Medicine","6' 3""","205 lbs.","73.0""","Switch","7","3","0",""
"1627321962-11991","http://ufcstats.com/statistics/fighters?char=f&page=all","Patricky","Freire","Pitbull","5' 7""","155 lbs.","71.0""","","17","8","0",""
"1627321962-11964","http://ufcstats.com/statistics/fighters?char=f&page=all","AJ","Fonseca","","5' 4""","145 lbs.","--","","5","4","0",""
"1627321962-11986","http://ufcstats.com/statistics/fighters?char=f&page=all","Justin","Frazier","The Grizzly Bear","6' 0""","265 lbs.","75.0""","Southpaw","10","3","0",""
"1627321962-11917","http://ufcstats.com/statistics/fighters?char=f&page=all","JP","Felty","","--","170 lbs.","--","","4","5","0",""
